index,Date,Open,High,Low,Close,Volume,OpenInt
217,1962-11-09,3.9579,4.0079,3.9579,4.0079,1320338,0
218,1962-11-12,4.0497,4.1415,4.0497,4.1415,2604748,0
219,1962-11-13,4.1415,4.1581,4.0667,4.0667,2532895,0
220,1962-11-14,4.0667,4.1581,4.0667,4.15,2209541,0
221,1962-11-15,4.15,4.2084,4.1249,4.1249,2496963,0
222,1962-11-16,4.1249,4.192,4.0916,4.192,1796379,0
223,1962-11-19,4.192,4.192,4.1249,4.1249,1122736,0
224,1962-11-20,4.1415,4.192,4.1415,4.1753,1347281,0
225,1962-11-21,4.1753,4.2084,4.15,4.1834,1913143,0
226,1962-11-23,4.1834,4.3005,4.1581,4.3005,3314317,0
227,1962-11-26,4.3005,4.3758,4.2839,4.3084,2568818,0
228,1962-11-27,4.3084,4.3839,4.2839,4.3758,2074815,0
229,1962-11-28,4.3839,4.4421,4.3839,4.4089,3188571,0
230,1962-11-29,4.4089,4.4421,4.4004,4.4421,2101759,0
231,1962-11-30,4.4421,4.4508,4.4004,4.4171,1562846,0
232,1962-12-03,4.3758,4.3758,4.3251,4.3421,1544884,0
233,1962-12-04,4.3504,4.4421,4.3504,4.4341,2110741,0
234,1962-12-05,4.4341,4.5008,4.4171,4.4171,2568818,0
235,1962-12-06,4.4171,4.4756,4.4089,4.4171,1661646,0
236,1962-12-07,4.4171,4.4675,4.4089,4.4089,1338301,0
237,1962-12-10,4.4089,4.4421,4.3084,4.3084,1769430,0
238,1962-12-11,4.3084,4.3504,4.2839,4.2919,1356265,0
239,1962-12-12,4.3171,4.3758,4.3171,4.3669,925135,0
240,1962-12-13,4.3669,4.3839,4.2919,4.3005,1347281,0
241,1962-12-14,4.3005,4.3339,4.2755,4.3171,1194590,0
242,1962-12-17,4.3171,4.3421,4.2585,4.2669999999999995,1086804,0
243,1962-12-18,4.2669999999999995,4.3005,4.2252,4.2335,1050881,0
244,1962-12-19,4.2335,4.3504,4.2335,4.3504,1158663,0
245,1962-12-20,4.3504,4.4004,4.3504,4.3504,1526920,0
246,1962-12-21,4.3504,4.3589,4.2669999999999995,4.2669999999999995,1077826,0
247,1962-12-24,4.3005,4.3669,4.3005,4.3669,817351,0
248,1962-12-26,4.3669,4.4004,4.3504,4.3669,871241,0
249,1962-12-27,4.3669,4.3839,4.3171,4.3339,943098,0
250,1962-12-28,4.3339,4.3589,4.3251,4.3504,700585,0
251,1962-12-31,4.3504,4.3758,4.3171,4.3251,1257464,0
252,1963-01-02,4.3251,4.3251,4.2585,4.2669999999999995,2865221,0
253,1963-01-03,4.2755,4.3921,4.2755,4.3921,1347281,0
254,1963-01-04,4.4004,4.4421,4.4004,4.4004,1841284,0
255,1963-01-07,4.4004,4.4421,4.3589,4.3669,1059863,0
256,1963-01-08,4.4004,4.4756,4.4004,4.4756,2164637,0
257,1963-01-09,4.4756,4.5173,4.4508,4.4756,2290381,0
258,1963-01-10,4.484,4.5339,4.484,4.5089999999999995,1859250,0
259,1963-01-11,4.5089999999999995,4.5173,4.4756,4.5173,1616741,0
260,1963-01-14,4.5173,4.6008,4.5173,4.5924,2964022,0
261,1963-01-15,4.5924,4.6342,4.5761,4.6008,2496963,0
262,1963-01-16,4.5924,4.5924,4.5089999999999995,4.5258,1517937,0
263,1963-01-17,4.5339,4.6008,4.5339,4.5842,1455063,0
264,1963-01-18,4.5842,4.6092,4.5506,4.5761,1023932,0
265,1963-01-21,4.5761,4.5924,4.5258,4.5924,1050881,0
266,1963-01-22,4.5924,4.6426,4.5924,4.6008,1113756,0
267,1963-01-23,4.6008,4.6178,4.5842,4.5924,790405,0
268,1963-01-24,4.5924,4.6426,4.5924,4.6092,1113756,0
269,1963-01-25,4.6092,4.6426,4.5924,4.6426,835314,0
270,1963-01-28,4.6512,4.7009,4.6512,4.7009,1904158,0
271,1963-01-29,4.7009,4.7009,4.6676,4.6762,889207,0
272,1963-01-30,4.6762,4.6762,4.6342,4.6512,862258,0
273,1963-01-31,4.6512,4.7009,4.6342,4.6927,1194590,0
274,1963-02-01,4.6927,4.7094,4.6844,4.6927,646694,0
275,1963-02-04,4.6927,4.7009,4.6512,4.6595,754479,0
276,1963-02-05,4.6595,4.6762,4.626,4.6676,916151,0
277,1963-02-06,4.6676,4.6927,4.6342,4.6342,844299,0
278,1963-02-07,4.6426,4.6844,4.6426,4.6426,781425,0
279,1963-02-08,4.6426,4.6676,4.6342,4.6595,718550,0
280,1963-02-11,4.6595,4.6595,4.6342,4.6342,547896,0
281,1963-02-12,4.6342,4.6426,4.5842,4.6426,1095790,0
282,1963-02-13,4.6426,4.6595,4.626,4.626,754479,0
283,1963-02-14,4.626,4.6595,4.626,4.6342,1005969,0
284,1963-02-15,4.6342,4.6512,4.626,4.6426,682623,0
285,1963-02-18,4.6426,4.6512,4.6342,4.6342,538914,0
286,1963-02-19,4.6342,4.6342,4.5924,4.5924,916151,0
287,1963-02-20,4.5842,4.5842,4.5428,4.5591,1077826,0
288,1963-02-21,4.5591,4.5591,4.5008,4.5506,1005969,0
289,1963-02-25,4.5428,4.5428,4.4756,4.4756,727534,0
290,1963-02-26,4.4756,4.5339,4.4675,4.5089999999999995,970044,0
291,1963-02-27,4.5089999999999995,4.5339,4.4924,4.4924,529933,0
292,1963-02-28,4.4924,4.4924,4.4255,4.4341,1347281,0
293,1963-03-01,4.4341,4.4756,4.4004,4.4004,1230516,0
294,1963-03-04,4.4341,4.484,4.4341,4.4756,898190,0
295,1963-03-05,4.4756,4.4756,4.4508,4.4508,547896,0
296,1963-03-06,4.4508,4.484,4.4341,4.484,502984,0
297,1963-03-07,4.5089999999999995,4.5428,4.5089999999999995,4.5339,862258,0
298,1963-03-08,4.5339,4.5428,4.5089999999999995,4.5258,476040,0
299,1963-03-11,4.5258,4.5506,4.5258,4.5258,583821,0
300,1963-03-12,4.5258,4.5428,4.5173,4.5258,422149,0
301,1963-03-13,4.5258,4.5506,4.5258,4.5339,547896,0
302,1963-03-14,4.5339,4.5842,4.5173,4.5428,709569,0
303,1963-03-15,4.5428,4.5842,4.5258,4.5842,610767,0
304,1963-03-18,4.5842,4.6092,4.5339,4.5428,556875,0
305,1963-03-19,4.5428,4.5591,4.5258,4.5428,494001,0
306,1963-03-20,4.5506,4.6008,4.5506,4.5924,592806,0
307,1963-03-21,4.5924,4.6008,4.5591,4.5591,952080,0
308,1963-03-22,4.5591,4.6008,4.5591,4.5924,511969,0
309,1963-03-25,4.5924,4.6092,4.5842,4.5842,574843,0
310,1963-03-26,4.5924,4.6342,4.5924,4.6178,970044,0
311,1963-03-27,4.6342,4.6676,4.6342,4.6676,1014954,0
312,1963-03-28,4.6676,4.6927,4.6595,4.6595,988011,0
313,1963-03-29,4.6595,4.6762,4.6595,4.6676,574843,0
314,1963-04-01,4.6676,4.6762,4.6595,4.6676,817351,0
315,1963-04-02,4.6676,4.6762,4.626,4.626,673640,0
316,1963-04-03,4.6342,4.6844,4.6342,4.6762,619749,0
317,1963-04-04,4.7094,4.7679,4.7094,4.751,1553864,0
318,1963-04-05,4.7595,4.9016,4.7595,4.9016,1913143,0
319,1963-04-08,4.9267,4.9935,4.9267,4.9849,1904158,0
320,1963-04-09,4.9849,4.9935,4.9098,4.9267,1482011,0
321,1963-04-10,4.9267,4.9431,4.8433,4.9016,1113756,0
322,1963-04-11,4.9016,4.9849,4.8766,4.9431,1535902,0
323,1963-04-15,4.9431,4.9766,4.9098,4.9431,996989,0
324,1963-04-16,4.9431,4.96,4.9098,4.9098,781425,0
325,1963-04-17,4.9098,4.9183,4.868,4.8849,574843,0
326,1963-04-18,4.8849,4.9183,4.8849,4.8849,350294,0
327,1963-04-19,4.9098,4.9849,4.9098,4.9849,916151,0
328,1963-04-22,5.0184,5.0937,5.0184,5.0685,1356265,0
